area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
10000,5,71,2005,378,8854,182742781
10000,5,72,2005,1857,31773,488594240
10000,5,81,2005,2208,12945,323310601
10000,5,99,2005,1,2,99374
10001,5,11,2005,37,0,0
10001,5,21,2005,2,0,0
10001,5,22,2005,7,172,10481154
10001,5,23,2005,558,3570,133379346
10001,5,31,2005,71,3807,164030124
10001,5,42,2005,175,1533,64743647
10001,5,44,2005,548,9072,213962563
10001,5,48,2005,153,2279,73850465
10001,5,51,2005,33,691,27815744
10001,5,52,2005,170,2371,102439634
10001,5,53,2005,143,602,16354945
10001,5,54,2005,283,0,0
10001,5,55,2005,10,0,0
10001,5,56,2005,227,1831,43544579
10001,5,61,2005,29,393,13964363
10001,5,62,2005,279,6726,220658523
10001,5,71,2005,50,2757,48144771
10001,5,72,2005,251,4569,56969706
10001,5,81,2005,308,1801,36954435
10003,5,11,2005,30,285,7928193
10003,5,21,2005,4,40,1961993
10003,5,22,2005,17,1642,139682223
10003,5,23,2005,1910,17609,837133994
10003,5,31,2005,447,17339,1186023997
10003,5,42,2005,1402,10765,734717111
10003,5,44,2005,1975,32626,812835894
10003,5,48,2005,430,5713,219641623
10003,5,51,2005,209,5472,299274926
10003,5,52,2005,1066,33429,2973568532
10003,5,53,2005,617,3922,156895974
10003,5,54,2005,2752,23094,1729152931
10003,5,55,2005,3430,12146,820186641
10003,5,56,2005,1195,17799,514082884
10003,5,61,2005,203,2970,103629916
10003,5,62,2005,1239,32055,1476053428
10003,5,71,2005,214,5161,117737916
10003,5,72,2005,1073,18555,302442453
10003,5,81,2005,1422,8750,234510399
10005,5,11,2005,84,0,0
10005,5,21,2005,2,0,0
10005,5,22,2005,8,363,25525587
10005,5,23,2005,987,6291,215890745
10005,5,31,2005,157,11989,389136287
10005,5,42,2005,245,1261,52309818
10005,5,44,2005,1029,11217,262496075
10005,5,48,2005,252,1573,54977827
10005,5,51,2005,59,466,17695829
10005,5,52,2005,173,2730,106914597
10005,5,53,2005,283,1949,67311296
10005,5,54,2005,423,1665,76411747
10005,5,55,2005,37,171,9635351
10005,5,56,2005,293,2690,56166993
10005,5,61,2005,19,158,3017142
10005,5,62,2005,370,7785,285933159
10005,5,71,2005,106,925,16713298
10005,5,72,2005,522,8573,126865422
10005,5,81,2005,445,2318,48740754
11000,5,21,2005,5,0,0
11000,5,22,2005,32,2562,194824262
11000,5,23,2005,802,0,0
11000,5,31,2005,247,2107,159648345
11000,5,42,2005,679,4586,370881775
11000,5,44,2005,1806,17618,502673765
11000,5,48,2005,226,2682,104202121
11000,5,51,2005,933,22571,2027965632
11000,5,52,2005,934,16379,1832760175
11000,5,53,2005,981,10607,629740133
11000,5,54,2005,6245,97503,9333690158
11000,5,55,2005,73,1429,239158825
11000,5,56,2005,1591,42915,1509391809
11000,5,61,2005,443,35657,1548066581
11000,5,62,2005,1897,50567,2463188047
11000,5,71,2005,287,6093,303906394
11000,5,72,2005,1822,47598,1217697569
11000,5,81,2005,7665,55614,3415581949
11000,5,99,2005,3657,6511,367950212
12000,5,11,2005,4956,92919,1974929151
12000,5,21,2005,259,5369,264298721
12000,5,22,2005,719,24219,1620884227
12000,5,23,2005,67988,580051,22214417747
12000,5,31,2005,16600,399262,17336947103
12000,5,42,2005,41118,337908,17825379704
12000,5,44,2005,72088,985304,25446001455
12000,5,48,2005,13394,209706,7973578036
12000,5,51,2005,9609,168633,8913281375
12000,5,52,2005,32626,353843,20951601550
12000,5,53,2005,31845,171818,6710502441
12000,5,54,2005,75510,429287,23913550543
12000,5,55,2005,2406,72051,5794370862
12000,5,56,2005,37143,820675,22358125622
12000,5,61,2005,5092,95301,3059061022
12000,5,62,2005,44725,810044,31645005651
12000,5,71,2005,8490,169521,4994424627
12000,5,72,2005,33838,716030,12095220845
12000,5,81,2005,47864,243405,6275112200
12000,5,99,2005,5678,9520,291638649
13000,5,11,2005,2327,25485,626110410
13000,5,21,2005,240,6948,370571458
13000,5,22,2005,444,19898,1437703589
13000,5,23,2005,26005,209274,8357723983
13000,5,31,2005,10020,449805,18987409309
13000,5,42,2005,23167,212331,12450860683
13000,5,44,2005,33143,459942,11307946702
13000,5,48,2005,6438,153954,6531663449
13000,5,51,2005,4215,116369,7638998386
13000,5,52,2005,15005,159767,10029708481
13000,5,53,2005,11411,62463,2636383930
13000,5,54,2005,29744,200875,12401975379
13000,5,55,2005,1227,53049,4741671964
13000,5,56,2005,15003,281169,8029663238
13000,5,61,2005,2217,50837,1934858483
13000,5,62,2005,18580,350463,13596666269
13000,5,71,2005,2716,38303,1091520171
13000,5,72,2005,16637,333292,4822693078
13000,5,81,2005,19733,97608,2630240840
13000,5,99,2005,7133,7035,332908118
15000,5,11,2005,450,7581,202913048
15000,5,21,2005,10,288,24976479
15000,5,22,2005,62,2873,207521090
15000,5,23,2005,3065,33099,1800044634
15000,5,31,2005,1081,15220,515424806
15000,5,42,2005,2138,17626,763520624
15000,5,44,2005,4572,69365,1736744576
15000,5,48,2005,948,27920,1010590115
15000,5,51,2005,649,10797,518357993
15000,5,52,2005,1648,16556,915081263
15000,5,53,2005,1916,12769,498332535
15000,5,54,2005,3724,23257,1288408972
15000,5,55,2005,456,7334,525719180
15000,5,56,2005,2176,43653,1145867865
15000,5,61,2005,566,12579,384961222
15000,5,62,2005,3300,55889,2190460644
15000,5,71,2005,508,11609,255552657
15000,5,72,2005,3370,94752,2226202287
15000,5,81,2005,3625,24000,625996021
15000,5,99,2005,251,100,5038868
16000,5,11,2005,2002,21170,512615013
16000,5,21,2005,152,2164,98910714
16000,5,22,2005,192,1931,102791596
16000,5,23,2005,8423,45152,1447760843
16000,5,31,2005,2139,62961,2697552760
16000,5,42,2005,3291,26863,1042254015
16000,5,44,2005,5943,76825,1838623197
16000,5,48,2005,1781,16109,491834027
16000,5,51,2005,810,11064,397909795
16000,5,52,2005,2897,19688,842942533
16000,5,53,2005,2121,8035,212971384
16000,5,54,2005,4828,29938,1378806473
16000,5,55,2005,236,7672,512570665
16000,5,56,2005,2540,38463,825826752
16000,5,61,2005,396,4781,146198981
16000,5,62,2005,4119,60020,1826056513
16000,5,71,2005,748,7798,117721066
16000,5,72,2005,3246,49491,558980695
16000,5,81,2005,3174,14889,319285288
16000,5,99,2005,77,84,3750292
17000,5,11,2005,1558,15656,427351798
17000,5,21,2005,629,9718,539502572
17000,5,22,2005,461,23379,2078915747
17000,5,23,2005,36635,268426,14049587524
17000,5,31,2005,19317,688566,34705809753
17000,5,42,2005,27903,302500,17922181955
17000,5,44,2005,37530,627608,15524267441
17000,5,48,2005,11166,216415,9049168970
17000,5,51,2005,6237,118514,6998031026
17000,5,52,2005,19829,312456,23813623481
17000,5,53,2005,12857,83926,3933824319
17000,5,54,2005,44624,344783,24897282962
17000,5,55,2005,1078,91281,9090337821
17000,5,56,2005,17754,389386,10885342090
17000,5,61,2005,3482,111320,4220663395
17000,5,62,2005,25425,623254,23841618420
17000,5,71,2005,4529,80053,2183228177
17000,5,72,2005,23371,431986,6492889902
17000,5,81,2005,29978,195777,5802963788
17000,5,99,2005,5745,7876,298759955
18000,5,11,2005,1295,12075,314038079
18000,5,21,2005,344,6469,333841156
18000,5,22,2005,456,14705,948147570
18000,5,23,2005,17255,148286,6050790654
18000,5,31,2005,9101,571058,27536995299
18000,5,42,2005,13075,121626,5769667355
18000,5,44,2005,20821,332043,7234730447
18000,5,48,2005,5184,106301,3801154960
18000,5,51,2005,2086,40307,1750655636
18000,5,52,2005,9630,99999,4947699915
18000,5,53,2005,5620,36560,1099014047
18000,5,54,2005,14046,90850,4308546901
18000,5,55,2005,828,26290,1898046882
18000,5,56,2005,7544,157350,3661463558
18000,5,61,2005,1287,40071,1167701186
18000,5,62,2005,12020,310393,11121993430
