County Name,area_fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
.San Sebastián Municipio,72131,44166,44176,44138,44095,44015,43882,43619,43270,42969,42651,42430
.Santa Isabel Municipio,72133,21665,22000,22231,22460,22680,22862,22966,23032,23121,23209,23274
.Toa Alta Municipio,72135,64339,65948,67171,68349,69514,70576,71414,72096,72792,73522,74066
.Toa Baja Municipio,72137,93570,93626,93547,93415,93234,92909,92327,91552,90820,90123,89609
.Trujillo Alto Municipio,72139,75774,76090,76268,76364,76478,76449,76202,75822,75443,75097,74842
.Utuado Municipio,72141,35344,35258,35175,35051,34909,34703,34418,34071,33714,33381,33149
.Vega Alta Municipio,72143,37915,38363,38703,39030,39327,39578,39686,39753,39803,39884,39951
.Vega Baja Municipio,72145,61916,61988,61981,61928,61861,61696,61330,60864,60412,59979,59662
.Vieques Municipio,72147,9106,9176,9227,9270,9317,9338,9331,9318,9307,9305,9301
.Villalba Municipio,72149,27910,27837,27772,27671,27566,27373,27132,26843,26543,26276,26073
.Yabucoa Municipio,72151,39121,39188,39228,39219,39194,39108,38909,38633,38374,38124,37941
.Yauco Municipio,72153,46398,46091,45829,45522,45184,44775,44242,43640,43047,42477,42043
